Array_Name,Year,Latitude,Longitude,Radius,Habitats,Ursus arctos,Alces alces,Canis latrans,Lynx canadensis,Canis familiaris,Ursus americanus,Canis lupus,Tamiasciurus hudsonicus,Sciurus carolinensis,Odocoileus virginianus,Procyon lotor,Sylvilagus floridanus,Didelphis virginiana,Dasypus novemcinctus,Tamias striatus,Felis catus,Urocyon cinereoargenteus,Mephitis mephitis,Lynx rufus,Sylvilagus audubonii,Ammospermophilus harrisii,Taxidea taxus,Otospermophilus variegatus,Lepus californicus,Pecari tajacu,Odocoileus hemionus,Neotamias dorsalis,Nasua narica,Mephitis macroura,Conepatus leuconotus,Bassariscus astutus,Bos taurus,Sciurus aberti,Cervus canadensis,Sciurus arizonensis,Puma concolor,Tamiasciurus douglasii,Neotamias senex,Pekania pennanti,Sciurus griseus,Sus scrofa,Sciurus niger,Sylvilagus bachmani,Neotoma mexicana,Spilogale gracilis,Mustela erminea,Vulpes vulpes,Marmota monax,Neovison vison,Lontra canadensis,Glaucomys volans,Castor canadensis,Neotoma floridana,Sylvilagus palustris,Urva javanica,Erethizon dorsatum,Martes americana,Mustela frenata,Neotamias minimus,Lepus americanus,Glaucomys sabrinus,Equus caballus,Sylvilagus aquaticus,Ondatra zibethicus,Lepus townsendii,Sylvilagus nuttallii,Antilocapra americana,Cynomys ludovicianus,Bison bison,Canis rufus,Vulpes macrotis,Dipodomys merriami,Oryx gazella,Ammospermophilus leucurus,Neotamias townsendii,Aplodontia rufa,Neotoma cinerea,Ovis aries,Neotamias umbrinus,Neotoma lepida,Otospermophilus beecheyi,Neotamias speciosus,Dipodomys deserti,Callospermophilus lateralis,Peromyscus leucopus,Peromyscus gossypinus,Sigmodon hispidus,Rattus rattus,Rattus norvegicus,Neotamias panamintinus,Mus musculus,Neotamias amoenus,Spilogale putorius,Neotoma fuscipes,Neotoma micropus,Equus asinus,Ovis canadensis,Sus scrofa scrofa,Dipodomys ingens,Neotamias merriami,Sylvilagus obscurus,Gulo gulo,Napaeozapus insignis,Dipodomys nitratoides,Blarina brevicauda,Zapus hudsonius,Peromyscus maniculatus,Capra aegagrus hircus,Ictidomys tridecemlineatus,Vulpes velox,Dipodomys ordii,Boselaphus tragocamelus,Neotoma albigula,Lariscus insignis,Lepus alleni,Xerospermophilus tereticaudus,Neotamias sonomae,Chaetodipus hispidus,Onychomys leucogaster,Urocitellus richardsonii,Lama glama,Microtus ochrogaster,Zalophus californianus,Thomomys bottae,Neotamias obscurus,Urocitellus armatus,Myodes gapperi,Neotamias ruficaudus,Brachylagus idahoensis,Cynomys leucurus
Afognak,2022,58.2886,-152.2951,5,Forest,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahlers,2022,39.086,-96.5834,5,Forest,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahlers,2023,37.4408,-94.224,5,Forest,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alamance,2019,36.053,-79.3772,5,Forest,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander,2020,43.6472,-110.4896,5,Forest,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander,2021,43.6477,-110.4897,5,Forest,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander,2022,43.6477,-110.4899,5,Forest,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander,2023,43.6476,-110.4885,5,Forest,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alto,2022,29.7843,-82.1345,5,Forest,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amherst,2019,42.38,-72.5087,5,Forest,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
